Date ;Time ;Lat ;Lon ;Wind ;Pressure ;Storm Type ;Category 
Aug 30;15:00 GMT;16.4°;-30.3°;50 mph ;1004 mb ;Tropical Storm;-
Aug 30;21:00 GMT;16.4°;-31.2°;60 mph ;1001 mb ;Tropical Storm;-
Aug 31;03:00 GMT;16.4°;-32.2°;65 mph ;999 mb ;Tropical Storm;-
Aug 31;09:00 GMT;16.5°;-32.9°;70 mph ;997 mb ;Tropical Storm;-
Aug 31;15:00 GMT;16.9°;-33.8°;100 mph ;979 mb ;Hurricane;2
Aug 31;21:00 GMT;17.3°;-34.8°;115 mph ;967 mb ;Hurricane;3
Sep 01;03:00 GMT;17.8°;-35.6°;115 mph ;967 mb ;Hurricane;3
Sep 01;09:00 GMT;18.2°;-36.5°;115 mph ;967 mb ;Hurricane;3
Sep 01;15:00 GMT;18.5°;-37.8°;110 mph ;972 mb ;Hurricane;2
Sep 01;21:00 GMT;18.8°;-39.1°;120 mph ;964 mb ;Hurricane;3
Sep 02;03:00 GMT;19.1°;-40.5°;115 mph ;967 mb ;Hurricane;3
Sep 02;09:00 GMT;19.0°;-41.8°;110 mph ;970 mb ;Hurricane;2
Sep 02;15:00 GMT;18.8°;-43.3°;110 mph ;973 mb ;Hurricane;2
Sep 02;21:00 GMT;18.5°;-44.6°;110 mph ;973 mb ;Hurricane;2
Sep 03;03:00 GMT;18.3°;-46.2°;110 mph ;973 mb ;Hurricane;2
Sep 03;09:00 GMT;18.0°;-47.5°;115 mph ;969 mb ;Hurricane;3
Sep 03;15:00 GMT;17.7°;-48.4°;115 mph ;969 mb ;Hurricane;3
Sep 03;21:00 GMT;17.6°;-49.8°;115 mph ;969 mb ;Hurricane;3
Sep 04;00:00 GMT;17.4°;-50.3°;115 mph ;959 mb ;Hurricane;3
Sep 04;03:00 GMT;17.2°;-51.0°;115 mph ;961 mb ;Hurricane;3
Sep 04;06:00 GMT;17.0°;-51.5°;115 mph ;961 mb ;Hurricane;3
Sep 04;09:00 GMT;16.9°;-52.3°;115 mph ;961 mb ;Hurricane;3
Sep 04;12:00 GMT;16.8°;-52.6°;120 mph ;947 mb ;Hurricane;3
Sep 04;15:00 GMT;16.8°;-53.3°;120 mph ;944 mb ;Hurricane;3
Sep 04;18:00 GMT;16.7°;-53.8°;120 mph ;944 mb ;Hurricane;3
Sep 04;21:00 GMT;16.7°;-54.4°;130 mph ;944 mb ;Hurricane;4
Sep 05;00:00 GMT;16.7°;-55.0°;140 mph ;943 mb ;Hurricane;4
Sep 05;03:00 GMT;16.7°;-55.6°;140 mph ;943 mb ;Hurricane;4
Sep 05;06:00 GMT;16.6°;-56.4°;145 mph ;939 mb ;Hurricane;4
Sep 05;09:00 GMT;16.6°;-57.0°;150 mph ;937 mb ;Hurricane;4
Sep 05;11:45 GMT;16.7°;-57.7°;175 mph ;929 mb ;Hurricane;5
Sep 05;12:00 GMT;16.7°;-57.7°;175 mph ;929 mb ;Hurricane;5
Sep 05;15:00 GMT;16.8°;-58.4°;180 mph ;931 mb ;Hurricane;5
Sep 05;18:00 GMT;16.9°;-59.1°;185 mph ;926 mb ;Hurricane;5
Sep 05;21:00 GMT;17.1°;-59.8°;185 mph ;926 mb ;Hurricane;5
Sep 06;00:00 GMT;17.2°;-60.5°;185 mph ;916 mb ;Hurricane;5
Sep 06;00:15 GMT;17.2°;-60.5°;185 mph ;916 mb ;Hurricane;5
Sep 06;03:00 GMT;17.4°;-61.1°;185 mph ;916 mb ;Hurricane;5
Sep 06;06:00 GMT;17.7°;-61.8°;185 mph ;914 mb ;Hurricane;5
Sep 06;09:00 GMT;17.9°;-62.6°;185 mph ;914 mb ;Hurricane;5
Sep 06;12:00 GMT;18.1°;-63.3°;185 mph ;918 mb ;Hurricane;5
Sep 06;15:00 GMT;18.2°;-64.0°;185 mph ;918 mb ;Hurricane;5
Sep 06;16:00 GMT;18.3°;-64.2°;185 mph ;922 mb ;Hurricane;5
Sep 06;17:00 GMT;18.4°;-64.5°;185 mph ;920 mb ;Hurricane;5
Sep 06;18:00 GMT;18.5°;-64.7°;185 mph ;920 mb ;Hurricane;5
Sep 06;19:00 GMT;18.6°;-64.9°;185 mph ;920 mb ;Hurricane;5
Sep 06;20:00 GMT;18.7°;-65.1°;185 mph ;920 mb ;Hurricane;5
Sep 06;21:00 GMT;18.8°;-65.4°;185 mph ;914 mb ;Hurricane;5
